Comprehensive classification of integral non-1-Frobenius Drinfeld rings of rank 6 with FPdim <= 200000   
#items = 32

Here is how to read each item: [FPdim, type, duality, formal codegrees, fusion data]

[234, [1, 1, 2, 8, 8, 10], [0, 1, 2, 4, 3, 5], [2, 3, 9, 39, 39, 234], [[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 2]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 3, 0, 4], [1, 1, 2, 3, 3, 1], [0, 0, 0, 1, 4, 4]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 2, 0], [1, 1, 2, 3, 3, 1], [0, 0, 0, 0, 3, 4], [0, 0, 0, 4, 1, 4]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 2], [0, 0, 0, 1, 4, 4], [0, 0, 0, 4, 1, 4], [1, 1, 2, 4, 4, 3]]]]
[330, [1, 1, 2, 8, 8, 14], [0, 1, 2, 4, 3, 5], [2, 3, 15, 15, 33, 330], [[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 2]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 1, 0, 4], [1, 1, 2, 1, 1, 3], [0, 0, 0, 3, 4, 4]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 2, 0], [1, 1, 2, 1, 1, 3], [0, 0, 0, 0, 1, 4], [0, 0, 0, 4, 3, 4]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 2], [0, 0, 0, 3, 4, 4], [0, 0, 0, 4, 3, 4], [1, 1, 2, 4, 4, 9]]]]
[420, [1, 1, 1, 10, 11, 14], [0, 2, 1, 3, 4, 5], [3, 3, 5, 12, 21, 420], [[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [1, 1, 1, 3, 1, 4], [0, 0, 0, 1, 4, 4], [0, 0, 0, 4, 4, 4]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 4, 4], [1, 1, 1, 4, 2, 4], [0, 0, 0, 4, 4, 5]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 4, 4, 4], [0, 0, 0, 4, 4, 5], [1, 1, 1, 4, 5, 7]]]]
[462, [1, 1, 8, 10, 10, 14], [0, 1, 2, 4, 3, 5], [2, 6, 7, 7, 22, 462], [[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 1, 0, 1, 1, 3], [0, 0, 1, 2, 1, 3], [0, 0, 1, 1, 2, 3], [0, 0, 3, 3, 3, 2]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 2, 1, 3], [0, 0, 1, 2, 3, 3], [1, 1, 2, 2, 2, 3], [0, 0, 3, 3, 3, 4]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 1, 1, 2, 3], [1, 1, 2, 2, 2, 3], [0, 0, 1, 3, 2, 3], [0, 0, 3, 3, 3, 4]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 3, 3, 3, 2], [0, 0, 3, 3, 3, 4], [0, 0, 3, 3, 3, 4], [1, 1, 2, 4, 4, 7]]]]
[480, [1, 1, 1, 3, 12, 18], [0, 2, 1, 3, 4, 5], [3, 3, 4, 20, 32, 480], [[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [1, 1, 1, 2, 0, 0], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 3]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 3, 0], [1, 1, 1, 3, 2, 6], [0, 0, 0, 0, 6, 8]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 6, 8], [1, 1, 1, 3, 8, 12]]]]
[672, [1, 1, 2, 9, 12, 21], [0, 1, 2, 3, 4, 5], [2, 3, 14, 16, 32, 672], [[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 2]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 2, 0, 0], [1, 1, 2, 0, 1, 3], [0, 0, 0, 1, 3, 3], [0, 0, 0, 3, 3, 6]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 3, 3], [1, 1, 2, 3, 4, 3], [0, 0, 0, 3, 3, 9]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 2], [0, 0, 0, 3, 3, 6], [0, 0, 0, 3, 3, 9], [1, 1, 2, 6, 9, 13]]]]
[780, [1, 1, 2, 3, 18, 21], [0, 1, 2, 3, 4, 5], [2, 3, 10, 20, 65, 780], [[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 2]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 2, 0, 0], [1, 1, 2, 1, 0, 0], [0, 0, 0, 0, 3, 0], [0, 0, 0, 0, 0, 3]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 3, 0], [1, 1, 2, 3, 9, 7], [0, 0, 0, 0, 7, 12]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 7, 12], [1, 1, 2, 3, 12, 10]]]]
[1320, [1, 9, 10, 11, 21, 24], [0, 1, 2, 3, 4, 5], [3, 4, 5, 8, 11, 1320], [[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 1, 2], [0, 0, 1, 1, 1, 2], [0, 1, 1, 1, 1, 2], [0, 1, 1, 1, 3, 4], [0, 2, 2, 2, 4, 3]], [[0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 1, 2], [1, 1, 0, 0, 2, 2], [0, 1, 0, 1, 2, 2], [0, 1, 2, 2, 3, 4], [0, 2, 2, 2, 4, 4]], [[0, 0, 0, 1, 0, 0], [0, 1, 1, 1, 1, 2], [0, 1, 0, 1, 2, 2], [1, 1, 1, 1, 2, 2], [0, 1, 2, 2, 4, 4], [0, 2, 2, 2, 4, 5]], [[0, 0, 0, 0, 1, 0], [0, 1, 1, 1, 3, 4], [0, 1, 2, 2, 3, 4], [0, 1, 2, 2, 4, 4], [1, 3, 3, 4, 7, 8], [0, 4, 4, 4, 8, 9]], [[0, 0, 0, 0, 0, 1], [0, 2, 2, 2, 4, 3], [0, 2, 2, 2, 4, 4], [0, 2, 2, 2, 4, 5], [0, 4, 4, 4, 8, 9], [1, 3, 4, 5, 9, 11]]]]
[1320, [1, 9, 10, 11, 21, 24], [0, 1, 2, 3, 4, 5], [3, 3, 5, 11, 24, 1320], [[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 1, 2], [0, 0, 1, 1, 1, 2], [0, 1, 1, 1, 1, 2], [0, 1, 1, 1, 3, 4], [0, 2, 2, 2, 4, 3]], [[0, 0, 1, 0, 0, 0], [0, 0, 1, 1, 1, 2], [1, 1, 1, 1, 1, 2], [0, 1, 1, 2, 1, 2], [0, 1, 1, 1, 4, 4], [0, 2, 2, 2, 4, 4]], [[0, 0, 0, 1, 0, 0], [0, 1, 1, 1, 1, 2], [0, 1, 1, 2, 1, 2], [1, 1, 2, 2, 1, 2], [0, 1, 1, 1, 5, 4], [0, 2, 2, 2, 4, 5]], [[0, 0, 0, 0, 1, 0], [0, 1, 1, 1, 3, 4], [0, 1, 1, 1, 4, 4], [0, 1, 1, 1, 5, 4], [1, 3, 4, 5, 6, 8], [0, 4, 4, 4, 8, 9]], [[0, 0, 0, 0, 0, 1], [0, 2, 2, 2, 4, 3], [0, 2, 2, 2, 4, 4], [0, 2, 2, 2, 4, 5], [0, 4, 4, 4, 8, 9], [1, 3, 4, 5, 9, 11]]]]
[1860, [1, 1, 2, 2, 25, 35], [0, 1, 2, 3, 4, 5], [2, 5, 5, 12, 62, 1860], [[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 1, 0, 1, 0, 0], [0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 2]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 1, 0, 0], [1, 1, 1, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 2]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 2, 0], [1, 1, 2, 2, 5, 14], [0, 0, 0, 0, 14, 15]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 14, 15], [1, 1, 2, 2, 15, 24]]]]
[2340, [1, 1, 2, 17, 26, 37], [0, 1, 2, 3, 4, 5], [2, 3, 9, 26, 60, 2340], [[[1, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]], [[0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [1, 1, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 0, 0, 2]], [[0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 2, 0, 0], [1, 1, 2, 4, 4, 3], [0, 0, 0, 4, 3, 8], [0, 0, 0, 3, 8, 10]], [[0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 2, 0], [0, 0, 0, 4, 3, 8], [1, 1, 2, 3, 11, 9], [0, 0, 0, 8, 9, 16]], [[0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 2], [0, 0, 0, 3, 8, 10], [0, 0, 0, 8, 9, 16], [1, 1, 2, 10, 16, 21]]]]
